ModTim, NONO:Measurement, MOMO:InternalSetpoint, SOSO:ControllerOutput
001:00:31.00,611.527,630,42.5284
001:00:32.00,611.911,630,42.5391
001:00:32.00,612.496,630,42.5545
001:00:33.00,612.938,630,42.5638
001:00:33.00,613.578,630,42.5772
001:00:34.00,614.04,630,42.5854
001:00:34.00,614.688,630,42.5974
001:00:35.00,615.141,630,42.6047
001:00:35.00,615.766,630,42.6157
001:00:36.00,616.194,630,42.6224
001:00:36.00,616.779,630,42.6326
001:00:37.00,617.174,630,42.6388
001:00:37.00,617.711,630,42.6483
001:00:38.00,618.071,630,42.6542
001:00:38.00,618.557,630,42.6632
001:00:39.00,618.883,630,42.6688
001:00:39.00,619.322,630,42.6774
001:00:40.00,619.615,630,42.6827
001:00:40.00,620.011,630,42.6908
001:00:41.00,620.277,630,42.696
001:00:41.00,620.635,630,42.7037
001:00:42.00,620.875,630,42.7086
001:00:42.00,621.201,630,42.716
001:00:43.00,621.421,630,42.7207
001:00:43.00,621.719,630,42.7278
001:00:44.00,621.92,630,42.7322
001:00:44.00,622.194,630,42.7389
001:00:45.00,622.38,630,42.7432
001:00:45.00,622.634,630,42.7496
001:00:46.00,622.807,630,42.7536
001:00:46.00,623.043,630,42.7597
001:00:47.00,623.205,630,42.7635
001:00:47.00,623.426,630,42.7693
001:00:48.00,623.577,630,42.7729
001:00:48.00,623.785,630,42.7784
001:00:49.00,623.927,630,42.7819
001:00:49.00,624.122,630,42.787
001:00:50.00,624.257,630,42.7903
001:00:50.00,624.441,630,42.7952
001:00:51.00,624.568,630,42.7983
001:00:51.00,624.742,630,42.8029
001:00:52.00,624.862,630,42.8058
001:00:52.00,625.027,630,42.8102
001:00:53.00,625.14,630,42.813
001:00:53.00,625.296,630,42.8171
001:00:54.00,625.403,630,42.8198
001:00:54.00,625.551,630,42.8237
001:00:55.00,625.652,630,42.8262
001:00:55.00,625.792,630,42.8299
001:00:56.00,625.888,630,42.8322
001:00:56.00,626.021,630,42.8357
001:00:57.00,626.112,630,42.8379
001:00:57.00,626.237,630,42.8412
001:00:58.00,626.323,630,42.8433
001:00:58.00,626.441,630,42.8464
001:00:59.00,626.523,630,42.8484
001:00:59.00,626.635,630,42.8514
001:01:00.00,626.712,630,42.8532
001:01:00.00,626.818,630,42.856
001:01:01.00,626.891,630,42.8578
001:01:01.00,626.991,630,42.8605
001:01:02.00,627.06,630,42.8621
001:01:02.00,627.155,630,42.8646
001:01:03.00,627.22,630,42.8662
001:01:03.00,627.31,630,42.8686
001:01:04.00,627.372,630,42.8701
001:01:04.00,627.457,630,42.8723
001:01:05.00,627.515,630,42.8737
001:01:05.00,627.595,630,42.8758
001:01:06.00,627.65,630,42.8772
001:01:06.00,627.726,630,42.8792
001:01:07.00,627.778,630,42.8804
001:01:07.00,627.85,630,42.8823
001:01:08.00,627.899,630,42.8835
001:01:08.00,627.967,630,42.8853
001:01:09.00,628.013,630,42.8864
001:01:09.00,628.077,630,42.8881
001:01:10.00,628.122,630,42.8892
001:01:10.00,628.182,630,42.8908
001:01:11.00,628.224,630,42.8918
001:01:11.00,628.281,630,42.8933
001:01:12.00,628.32,630,42.8943
001:01:12.00,628.375,630,42.8957
001:01:13.00,628.412,630,42.8966
001:01:13.00,628.463,630,42.8979
001:01:14.00,628.498,630,42.8988
001:01:14.00,628.547,630,42.9001
001:01:15.00,628.58,630,42.9009
001:01:15.00,628.626,630,42.9021
001:01:16.00,628.657,630,42.9029
001:01:16.00,628.7,630,42.904
001:01:17.00,628.73,630,42.9047
001:01:17.00,628.771,630,42.9058
001:01:18.00,628.799,630,42.9065
001:01:18.00,628.838,630,42.9075
001:01:19.00,628.864,630,42.9082
001:01:19.00,628.901,630,42.9091
001:01:20.00,628.926,630,42.9097
001:01:20.00,628.961,630,42.9106
001:01:21.00,628.984,630,42.9112
001:01:21.00,629.017,630,42.9121
001:01:22.00,629.04,630,42.9126
001:01:22.00,629.071,630,42.9135
001:01:23.00,629.092,630,42.914
001:01:23.00,629.121,630,42.9147
001:01:24.00,629.141,630,42.9152
001:01:24.00,629.169,630,42.916
001:01:25.00,629.188,630,42.9164
001:01:25.00,629.214,630,42.9171
001:01:26.00,629.232,630,42.9176
001:01:26.00,629.257,630,42.9182
001:01:27.00,629.273,630,42.9186
001:01:27.00,629.297,630,42.9192
001:01:28.00,629.313,630,42.9196
001:01:28.00,629.335,630,42.9202
001:01:29.00,629.35,630,42.9206
001:01:29.00,629.371,630,42.9211
001:01:30.00,629.385,630,42.9215
001:01:30.00,629.405,630,42.922
001:01:31.00,629.419,630,42.9223
001:01:31.00,629.437,630,42.9228
001:01:32.00,629.45,630,42.9232
001:01:32.00,629.468,630,42.9236
001:01:33.00,629.48,630,42.9239
001:01:33.00,629.497,630,42.9244
001:01:34.00,629.508,630,42.9246
001:01:34.00,629.524,630,42.9251
001:01:35.00,629.535,630,42.9253
001:01:35.00,629.55,630,42.9257
001:01:36.00,629.56,630,42.926
001:01:36.00,629.574,630,42.9263
001:01:37.00,629.584,630,42.9266
001:01:37.00,629.597,630,42.9269
001:01:38.00,629.606,630,42.9272
001:01:38.00,629.619,630,42.9275
001:01:39.00,629.628,630,42.9277
001:01:39.00,629.64,630,42.928
001:01:40.00,629.648,630,42.9282
001:01:40.00,629.659,630,42.9285
001:01:41.00,629.667,630,42.9287
001:01:41.00,629.678,630,42.929
001:01:42.00,629.685,630,42.9292
001:01:42.00,629.695,630,42.9295
001:01:43.00,629.702,630,42.9296
001:01:43.00,629.712,630,42.9299
001:01:44.00,629.718,630,42.93
001:01:44.00,629.727,630,42.9303
001:01:45.00,629.733,630,42.9304
001:01:45.00,629.742,630,42.9307
001:01:46.00,629.748,630,42.9308
001:01:46.00,629.756,630,42.931
001:01:47.00,629.762,630,42.9311
001:01:47.00,629.769,630,42.9314
