odime, MAMAMeasurement, OSISInternalSetpoint, OCOCOControllerOutput
000:47:45.00,53.5176,55,40.9858
000:47:45.00,53.5344,55,41.0016
000:47:46.00,53.5468,55,41.0138
000:47:46.00,53.5635,55,41.0296
000:47:47.00,53.5758,55,41.0417
000:47:47.00,53.5923,55,41.0574
000:47:48.00,53.6046,55,41.0695
000:47:48.00,53.621,55,41.0851
000:47:49.00,53.6331,55,41.0971
000:47:49.00,53.6493,55,41.1127
000:47:50.00,53.6614,55,41.1246
000:47:50.00,53.6775,45,53.1592
000:47:51.00,53.6892,45,53.19
000:47:51.00,53.7039,45,53.2327
000:47:52.00,53.7133,45,53.2607
000:47:52.00,53.7237,45,53.2983
000:47:53.00,53.7286,45,53.3209
000:47:53.00,53.7324,45,53.3506
000:47:54.00,53.7318,45,53.3666
000:47:54.00,53.728,45,53.3873
000:47:55.00,53.7217,45,53.3964
000:47:55.00,53.7105,45,53.4081
000:47:56.00,53.6989,45,53.4109
000:47:56.00,53.681,45,53.4144
000:47:57.00,53.6648,45,53.4116
000:47:57.00,53.6411,45,53.4081
000:47:58.00,53.6211,45,53.4007
000:47:58.00,53.5928,45,53.3914
000:47:59.00,53.5697,45,53.3802
000:47:59.00,53.5377,45,53.3664
000:48:00.00,53.5123,45,53.3523
000:48:00.00,53.4774,45,53.3348
000:48:01.00,53.4501,45,53.3184
000:48:01.00,53.413,45,53.2981
000:48:02.00,53.3845,45,53.2799
000:48:02.00,53.3457,45,53.2576
000:48:03.00,53.3162,45,53.238
000:48:03.00,53.2763,45,53.214
000:48:04.00,53.246,45,53.1935
000:48:04.00,53.2052,45,53.1683
000:48:05.00,53.1744,45,53.1471
000:48:05.00,53.1331,45,53.1209
000:48:06.00,53.102,45,53.0991
000:48:06.00,53.0603,45,53.0724
000:48:07.00,53.0289,45,53.0502
000:48:07.00,52.987,45,53.0229
000:48:08.00,52.9555,45,53.0004
000:48:08.00,52.9134,45,52.9728
000:48:09.00,52.8819,45,52.9501
000:48:09.00,52.8398,45,52.9222
000:48:10.00,52.8083,45,52.8994
000:48:10.00,52.7662,45,52.8713
000:48:11.00,52.7348,45,52.8484
000:48:11.00,52.6928,45,52.8202
000:48:12.00,52.6614,45,52.7973
000:48:12.00,52.6195,45,52.769
000:48:13.00,52.5882,45,52.7461
000:48:13.00,52.5465,45,52.7178
000:48:14.00,52.5154,45,52.6948
000:48:14.00,52.4738,45,52.6665
000:48:15.00,52.4428,45,52.6436
000:48:15.00,52.4014,45,52.6153
000:48:16.00,52.3705,45,52.5924
000:48:16.00,52.3293,45,52.5641
000:48:17.00,52.2986,45,52.5412
000:48:17.00,52.2576,45,52.513
000:48:18.00,52.227,45,52.4902
000:48:18.00,52.1862,45,52.462
000:48:19.00,52.1558,45,52.4392
000:48:19.00,52.1152,45,52.4111
000:48:20.00,52.085,45,52.3884
000:48:20.00,52.0446,45,52.3603
000:48:21.00,52.0145,45,52.3377
000:48:21.00,51.9744,45,52.3097
000:48:22.00,51.9445,45,52.2871
000:48:22.00,51.9046,45,52.2592
000:48:23.00,51.8749,45,52.2367
000:48:23.00,51.8352,45,52.2088
000:48:24.00,51.8056,45,52.1864
000:48:24.00,51.7662,45,52.1586
000:48:25.00,51.7368,45,52.1362
000:48:25.00,51.6976,45,52.1085
000:48:26.00,51.6683,45,52.0863
000:48:26.00,51.6294,45,52.0586
000:48:27.00,51.6003,45,52.0364
000:48:27.00,51.5615,45,52.0089
